Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição 1995 a 2021;;;;;;;;;;;;
Ano de Lançamento;CPB;Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF2;Distribuidora;Máximo de Salas;Público;Renda (R$)
1997;B0800842700000;O Cangaceiro;Anibal Massaini Neto;Ficção;Cinearte Produções Cinematográficas;SP;-;-;S. Ribeiro;10;140932;618692
1997;B0400076600000;O Homem Nu;Hugo Carvana;Ficção;Mac Comunicacão;RJ;-;-;Riofilme;14;74188;450321
1997;B0500336500000;O Noviço Rebelde;Tizuka Yamasaki;Ficção;Renato Aragão Produções;RJ;-;-;Columbia/Art Filmes;174;1501035;6019150
1997;B0500261400000;O Que É Isso Companheiro?;Bruno Barreto;Ficção;Filmes Do Equador;RJ;-;-;Columbia;48;321450;1787262
1997;B1001308600000;O Sertão Das Memórias;José Araújo;Documentário;Ganesh Produções;CE;-;-;Riofilme;ND;3110;15000
1997;B0500239200000;O Velho - A História De Luiz Carlos Prestes;Toni Venturi;Documentário;Olhar Imaginário;SP;-;-;Riofilme;2;11874;44290
1997;B0500420200000;Os Matadores;Beto Brant;Ficção;Casa De Produção;SP;-;-;Riofilme;6;27014;128998
1997;B0500311000000;Pequeno Dicionário Amoroso;Sandra Werneck;Ficção;Cineluz Produções;RJ;-;-;Lumière/Riofilme;23;402430;2100685
1997;B0500311300000;Silvino Santos - O Cineasta Da Selva;Aurélio Michelis;Documentário;Superfilmes;SP;-;-;Riofilme;2;4560;21386
1997;B0600478000000;Um Céu De Estrelas;Tata Amaral;Ficção;Tata Amaral;SP;-;-;Riofilme;1;13307;72390
1998;B0500262300000;A Grande Noitada;Denoy De Oliveira;Ficção;Palmares;SP;-;-;Riofilme;1;1587;7594
1998;-;Alô;Mara Mourão;Ficção;Mamo Filmes;SP;-;-;Riofilme;ND;2703;13000
1998;B0500312600000;Amor E Cia;Helvécio Ratton;Ficção;Quimera Filmes;MG;-;-;S. Ribeiro/Riofilme;24;47179;237310
1998;B0500261200000;Amores;Domingos De Oliveira;Ficção;Tv Zero Produções;RJ;-;-;S. Ribeiro/Riofilme;6;33192;164418
1998;B0500286200000;Ação Entre Amigos;Beto Brant;Ficção;Dezenove Som E Imagens;SP;-;-;S. Ribeiro/Riofilme;3;38957;194330
1998;B0300023600000;Bahia De Todos Os Sambas;Leon Hirszman/Paulo César Saraceni;Documentário;Shater Produções Artísticas;RJ;-;-;Riofilme;1;1037;5107
1998;B0500326400000;Bela Donna;Fábio Barreto;Ficção;Filmes Do Equador;RJ;-;-;S. Ribeiro/Riofilme;74;68151;370060
1998;B0400052500000;Bocage - O Triunfo Do Amor;Djalma Limongi Batista;Ficção;Cinema Do Século Xxi;SP;-;-;Riofilme;2;16621;73281
1998;B0600556000000;Boleiros, Era Uma Vez O Futebol;Ugo Giorgetti;Ficção;Sp Filmes De São Paulo;SP;-;-;Tabu Arte;ND;60000;300000
1998;B0500310900000;Central Do Brasil;Walter Salles;Ficção;Videofilmes;RJ;-;-;S. Ribeiro/Riofilme;79;1593967;8087276
1998;-;Cinderela Bahiana;Conrado Sanchez;Ficção;Galante Filmes;SC;-;-;Art Filmes;ND;32000;180000
1998;B0500272900000;Como Ser Solteiro;Rosane Svartman;Ficção;Raccord Produções;RJ;-;-;S. Ribeiro/Riofilme;25;150778;825101
1998;B0500403300000;Coração Iluminado;Hector Babenco;Ficção;Hb Filmes;SP;-;-;Columbia;19;17850;92892
1998;B0500403400000;For All - O Trampolim Da Vitória;Buza Ferraz/Luiz Carlos Lacerda;Ficção;Bigdeni Filmes;RJ;-;-;Columbia;35;62604;348628
